City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Castro,BR,2020-08-24 23:01:13,-24.79,-50.01,50.61,93,7,7.94
70,Padang,ID,2020-08-24 23:01:08,-0.95,100.35,77.76,75,78,4.72
71,Cabo San Lucas,MX,2020-08-24 23:00:02,22.89,-109.91,89.6,52,20,3.36
72,Waddan,LY,2020-08-24 23:03:02,29.16,16.14,76.82,69,0,7.67
73,Providencia,MX,2020-08-24 23:03:02,28.72,-111.58,100.0,42,0,13.0
74,Geraldton,AU,2020-08-24 23:03:03,-28.77,114.6,44.6,93,0,3.36
75,Upernavik,GL,2020-08-24 23:03:03,72.79,-56.15,42.75,90,100,2.17
76,San Quintin,MX,2020-08-24 23:03:03,30.48,-115.95,79.09,70,23,15.46
77,Tevaitoa,PF,2020-08-24 23:03:03,-16.78,-151.5,77.83,81,13,20.04
78,Karaton,ID,2020-08-24 23:03:03,-6.34,106.1,75.2,83,20,4.7
79,Vao,NC,2020-08-24 23:03:04,-22.67,167.48,69.15,64,0,13.11
80,Atuona,PF,2020-08-24 23:03:04,-9.8,-139.03,78.33,77,3,15.59
81,Umm Kaddadah,SD,2020-08-24 23:03:04,13.6,26.69,78.98,63,97,3.96
82,Fethiye,TR,2020-08-24 23:03:04,36.62,29.12,73.4,88,0,3.36
83,Tazovskiy,RU,2020-08-24 23:03:04,67.47,78.7,50.18,99,100,5.88
84,Pevek,RU,2020-08-24 23:03:05,69.7,170.31,38.19,98,100,3.96
85,Raton,US,2020-08-24 23:03:05,36.9,-104.44,89.6,15,1,18.34
86,Vardo,NO,2020-08-24 23:03:05,70.37,31.11,48.2,81,40,11.41
87,Champerico,GT,2020-08-24 23:00:11,14.3,-91.92,84.2,74,40,11.41
88,Hobart,AU,2020-08-24 23:00:58,-42.88,147.33,46.0,70,20,10.29
89,Honiara,SB,2020-08-24 23:03:06,-9.43,159.95,86.0,70,20,6.93
90,Ancud,CL,2020-08-24 23:03:06,-41.87,-73.82,45.0,81,75,6.93
91,Skowhegan,US,2020-08-24 23:03:03,44.77,-69.72,72.0,94,1,3.22
92,Borujerd,IR,2020-08-24 23:03:06,33.9,48.75,66.2,25,0,4.7
93,Iqaluit,CA,2020-08-24 23:01:06,63.75,-68.51,50.0,71,75,16.11
94,Vaini,TO,2020-08-24 23:03:07,-21.2,-175.2,78.8,78,40,8.05
95,Florianopolis,BR,2020-08-24 23:03:07,-27.61,-48.5,64.4,68,0,5.82
96,Lebu,CL,2020-08-24 23:03:07,-37.62,-73.65,51.57,89,96,21.65
97,Hofn,IS,2020-08-24 23:03:07,64.25,-15.21,49.8,80,27,5.14
98,Saldanha,ZA,2020-08-24 23:03:08,-33.01,17.94,50.0,81,98,2.24
99,Ojinaga,MX,2020-08-24 23:03:08,29.57,-104.42,95.0,17,1,10.29
100,Salalah,OM,2020-08-24 23:03:08,17.02,54.09,75.2,100,90,5.82
101,Thompson,CA,2020-08-24 22:58:54,55.74,-97.86,51.8,76,75,8.05
102,Coihaique,CL,2020-08-24 23:03:08,-45.58,-72.07,33.8,94,90,6.93
103,Weyburn,CA,2020-08-24 23:01:42,49.67,-103.85,91.0,27,0,11.01
104,Hamilton,US,2020-08-24 23:01:21,39.18,-84.53,88.0,52,40,11.41
105,Usak,TR,2020-08-24 23:03:09,38.5,29.42,67.24,43,0,1.68
106,Normandin,CA,2020-08-24 23:03:09,48.83,-72.53,71.6,53,75,4.7
107,Lazaro Cardenas,MX,2020-08-24 23:00:01,17.96,-102.2,82.8,78,30,5.14
108,Bredasdorp,ZA,2020-08-24 23:03:09,-34.53,20.04,51.8,93,100,3.85
109,Lompoc,US,2020-08-24 22:59:50,34.64,-120.46,77.0,69,1,16.11
110,Souillac,MU,2020-08-24 23:03:09,-20.52,57.52,69.8,88,75,14.99
111,La Ronge,CA,2020-08-24 23:03:10,55.1,-105.28,64.4,63,75,12.75
112,Baruun-Urt,MN,2020-08-24 23:03:10,46.68,113.28,55.31,72,17,4.79
113,Kopervik,NO,2020-08-24 23:03:10,59.28,5.31,53.6,71,37,16.11
114,Arraial Do Cabo,BR,2020-08-24 23:03:10,-22.97,-42.03,64.4,88,75,2.24
115,Leningradskiy,RU,2020-08-24 23:03:10,69.38,178.42,42.48,89,100,8.52
116,Hermanus,ZA,2020-08-24 23:03:10,-34.42,19.23,54.0,88,91,9.26
117,Hilo,US,2020-08-24 23:03:10,19.73,-155.09,82.4,65,90,8.05
118,Bambous Virieux,MU,2020-08-24 23:03:11,-20.34,57.76,70.0,88,75,14.99
119,Gumrak,RU,2020-08-24 23:03:11,48.78,44.38,59.0,44,1,2.24
120,Beloha,MG,2020-08-24 23:03:11,-25.17,45.05,65.43,95,0,4.16
121,Atar,MR,2020-08-24 23:03:11,20.52,-13.05,92.46,38,0,18.07
122,Port Elizabeth,ZA,2020-08-24 22:58:36,-33.92,25.57,59.0,93,90,11.41
123,Marzuq,YE,2020-08-24 23:03:11,14.4,46.47,81.73,54,98,8.79
124,Mahebourg,MU,2020-08-24 23:03:12,-20.41,57.7,69.8,88,75,14.99
125,Aklavik,CA,2020-08-24 23:03:12,68.22,-135.01,68.0,56,20,9.17
126,Santiago,CL,2020-08-24 22:59:43,-33.46,-70.65,57.2,50,40,9.17
127,Eskilstuna,SE,2020-08-24 23:03:12,59.37,16.51,55.4,62,29,6.93
128,Umm Lajj,SA,2020-08-24 23:01:07,25.02,37.27,83.59,56,27,5.21
129,Nikolskoye,RU,2020-08-24 23:03:12,59.7,30.79,57.99,82,22,6.71
130,Tiksi,RU,2020-08-24 23:03:13,71.69,128.87,38.79,78,3,13.98
131,Jacareacanga,BR,2020-08-24 23:03:13,-6.22,-57.75,83.23,33,0,2.15
132,Arica,CL,2020-08-24 23:03:13,-18.48,-70.3,62.6,82,90,11.41
133,Port Hardy,CA,2020-08-24 23:03:13,50.7,-127.42,60.8,77,75,11.41
134,San Patricio,MX,2020-08-24 23:03:13,19.22,-104.7,87.8,74,75,11.41
135,Hervey Bay,AU,2020-08-24 23:03:13,-25.3,152.85,66.99,71,0,8.05
136,Avarua,CK,2020-08-24 23:03:13,-21.21,-159.78,75.2,73,90,13.87
137,Katsuura,JP,2020-08-24 23:03:14,35.13,140.3,82.0,69,3,3.0
138,Zaozerne,UA,2020-08-24 23:03:14,45.16,33.28,71.2,63,0,4.23
139,Cherskiy,RU,2020-08-24 23:03:14,68.75,161.3,39.87,93,100,3.69
140,Shenjiamen,CN,2020-08-24 23:03:14,29.96,122.3,82.47,85,92,15.75
141,Benjamin Aceval,PY,2020-08-24 23:03:14,-24.97,-57.57,80.6,47,0,11.41
142,Esperance,AU,2020-08-24 23:03:14,-33.87,121.9,46.4,100,0,3.36
143,Dharchula,IN,2020-08-24 23:03:15,29.85,80.53,69.06,78,77,0.87
144,Saskylakh,RU,2020-08-24 23:03:15,71.92,114.08,50.59,61,96,11.95
145,Ruidoso,US,2020-08-24 22:59:23,33.33,-105.67,82.4,24,1,12.75
146,Henties Bay,NA,2020-08-24 23:03:15,-22.12,14.28,54.0,91,0,7.54
147,Oranjemund,NA,2020-08-24 23:03:15,-28.55,16.43,52.27,92,1,3.58
148,Cape Town,ZA,2020-08-24 23:03:15,-33.93,18.42,54.0,93,96,2.24
149,Martapura,ID,2020-08-24 23:03:15,-3.42,114.85,75.2,94,90,1.12
150,Adre,TD,2020-08-24 23:03:16,13.47,22.2,75.13,70,95,3.22
151,Pahrump,US,2020-08-24 23:03:16,36.21,-115.98,107.01,13,2,5.01
152,Coquimbo,CL,2020-08-24 23:03:16,-29.95,-71.34,59.0,51,98,21.92
153,Zhezkazgan,KZ,2020-08-24 23:03:16,47.8,67.71,57.58,72,90,10.45
154,Ornskoldsvik,SE,2020-08-24 23:03:16,63.29,18.72,37.4,93,0,4.7
155,Nueva Helvecia,UY,2020-08-24 23:03:17,-34.3,-57.23,63.0,71,0,1.01
156,Mitsamiouli,KM,2020-08-24 23:03:17,-11.38,43.28,76.77,74,20,4.29
157,San Julian,MX,2020-08-24 23:03:17,21.02,-102.17,71.85,62,37,5.39
158,Isilkul,RU,2020-08-24 23:03:17,54.91,71.27,48.9,96,0,7.27
159,Lorengau,PG,2020-08-24 23:03:17,-2.02,147.27,81.01,80,90,11.81
160,Qaanaaq,GL,2020-08-24 23:03:17,77.48,-69.36,34.41,88,98,7.43
161,Komsomolskiy,UZ,2020-08-24 23:03:18,40.43,71.72,75.2,44,40,4.7
162,Malmesbury,ZA,2020-08-24 23:03:18,-33.46,18.73,54.0,95,100,1.95
163,Ankazobe,MG,2020-08-24 23:03:18,-18.32,47.12,57.2,93,75,5.82
164,Faenza,IT,2020-08-24 23:03:18,44.29,11.88,69.01,83,34,1.99
165,Mackay,AU,2020-08-24 23:03:18,-21.15,149.2,68.0,87,9,5.82
166,Broome,US,2020-08-24 23:03:19,42.25,-75.83,81.0,73,20,8.05
167,Alvaraes,BR,2020-08-24 23:03:19,-3.22,-64.8,78.8,74,29,2.24
168,Tokur,RU,2020-08-24 23:03:19,53.13,132.9,51.4,94,100,5.12
169,Alberton,CA,2020-08-24 23:03:19,46.82,-64.07,63.0,70,1,8.77
170,Puerto Ayora,EC,2020-08-24 23:03:19,-0.74,-90.35,68.0,86,73,4.0
171,Saint-Pierre,RE,2020-08-24 23:02:07,-21.34,55.48,66.2,63,12,5.82
172,New Bern,US,2020-08-24 23:03:20,35.11,-77.04,82.99,78,1,6.93
173,Carndonagh,IE,2020-08-24 23:03:20,55.25,-7.27,50.95,85,100,9.57
174,Pacific Grove,US,2020-08-24 23:03:20,36.62,-121.92,77.0,53,1,10.29
175,Baisha,CN,2020-08-24 23:03:20,26.52,110.93,77.13,84,66,3.2
176,Ponta Do Sol,PT,2020-08-24 23:02:05,32.67,-17.1,73.4,73,40,18.34
177,Meadow Lake,US,2020-08-24 23:01:02,34.8,-106.54,95.0,15,75,16.11
178,Tuusula,FI,2020-08-24 23:03:21,60.4,25.03,55.99,93,97,3.36
179,Dikson,RU,2020-08-24 23:03:21,73.51,80.55,45.46,86,71,10.51
180,Albert Lea,US,2020-08-24 23:03:21,43.65,-93.37,87.8,62,1,3.36
181,Leh,IN,2020-08-24 23:03:21,34.17,77.58,63.41,30,30,3.98
182,Meulaboh,ID,2020-08-24 23:03:21,4.14,96.13,76.32,89,57,4.72
183,Safonovo,RU,2020-08-24 23:03:21,55.15,33.22,55.4,95,0,4.16
184,Edson,CA,2020-08-24 23:00:57,53.58,-116.44,55.4,87,90,3.36
185,Torbay,CA,2020-08-24 23:03:22,47.67,-52.73,62.01,87,75,5.82
186,Wanaka,NZ,2020-08-24 23:03:22,-44.7,169.15,45.91,66,98,8.79
187,Kodiak,US,2020-08-24 23:03:22,57.79,-152.41,64.4,52,75,10.29
188,Zyryanka,RU,2020-08-24 23:03:22,65.75,150.85,41.92,65,84,5.23
189,Biak,ID,2020-08-24 23:03:22,-0.91,122.88,76.95,82,68,6.46
190,Codrington,AU,2020-08-24 23:03:23,-38.27,141.97,46.29,82,63,7.9
191,Port Lincoln,AU,2020-08-24 23:03:23,-34.73,135.87,52.77,71,0,9.62
192,Tabou,CI,2020-08-24 23:03:23,4.42,-7.35,75.31,85,100,8.84
193,Batagay-Alyta,RU,2020-08-24 23:03:23,67.8,130.41,39.29,71,9,1.28
194,Chuy,UY,2020-08-24 23:03:23,-33.7,-53.46,57.47,83,1,12.21
195,Manica,FR,2020-08-24 23:03:24,49.0,-1.17,60.8,77,100,5.82
196,Zilair,RU,2020-08-24 23:03:24,52.23,57.44,50.45,94,2,3.51
197,Kungurtug,RU,2020-08-24 23:03:24,50.6,97.52,42.13,79,68,1.05
198,Marsh Harbour,BS,2020-08-24 23:03:24,26.54,-77.06,84.72,79,3,16.73
199,Beringovskiy,RU,2020-08-24 23:03:24,63.05,179.32,51.87,77,95,10.07
200,Sorong,ID,2020-08-24 23:03:25,-0.88,131.25,78.44,86,26,12.82
201,Mareeba,AU,2020-08-24 23:03:25,-17.0,145.43,71.6,60,100,9.17
202,Cayenne,GF,2020-08-24 23:00:06,4.93,-52.33,80.6,78,2,3.36
203,Imeni Poliny Osipenko,RU,2020-08-24 23:03:25,52.42,136.49,53.26,97,100,9.86
204,Ankazoabo,MG,2020-08-24 23:03:25,-22.28,44.52,63.82,80,0,5.19
205,Tucupita,VE,2020-08-24 23:03:25,9.06,-62.05,78.57,81,91,2.51
206,San Cristobal,VE,2020-08-24 23:03:26,7.77,-72.22,86.0,51,40,6.93
207,Ilulissat,GL,2020-08-24 23:03:26,69.22,-51.1,39.2,93,4,2.24
208,Lucapa,AO,2020-08-24 23:03:26,-8.42,20.74,68.76,35,45,2.59
209,Lasa,IT,2020-08-24 23:03:26,46.62,10.7,53.6,76,5,4.7
210,Kautokeino,NO,2020-08-24 23:03:26,69.01,23.04,47.43,92,100,1.43
211,Quatre Cocos,MU,2020-08-24 23:03:27,-20.21,57.76,70.0,88,75,14.99
212,Itaituba,BR,2020-08-24 23:03:27,-4.28,-55.98,82.65,57,95,3.31
213,Tiznit,MA,2020-08-24 23:03:27,29.58,-9.5,92.75,18,34,4.25
214,Barabai,ID,2020-08-24 23:03:27,-2.58,115.38,73.81,89,28,1.59
215,Maarianhamina,AX,2020-08-24 23:03:10,60.1,19.93,51.8,100,75,2.24
216,Marawi,PH,2020-08-24 23:03:27,8.0,124.29,75.0,84,64,8.01
