City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Parauna,BR,-16.95,-50.45,74.8,19,2,6.89,clear sky
83,Grafton,US,42.21,-71.69,64.0,93,90,4.7,mist
84,Jamestown,US,42.1,-79.24,70.0,93,90,11.41,moderate rain
85,Qaanaaq,GL,77.48,-69.36,38.91,86,100,10.29,light rain
86,East London,ZA,-33.02,27.91,61.95,67,2,16.64,clear sky
87,Aasiaat,GL,68.71,-52.87,39.88,72,25,8.75,scattered clouds
88,Haines Junction,CA,60.75,-137.51,56.82,48,100,4.72,overcast clouds
89,Vostok,RU,46.49,135.88,62.02,100,100,4.07,moderate rain
90,Aswan,EG,24.09,32.91,83.77,25,62,9.19,broken clouds
91,La Romana,DO,18.43,-68.97,86.0,74,40,6.93,scattered clouds
92,Hue,VN,16.47,107.6,78.8,78,20,3.36,few clouds
93,Manihari,IN,25.35,87.63,77.88,93,29,6.91,scattered clouds
94,Mutsu,JP,41.29,141.22,71.6,94,75,2.24,fog
95,Beloha,MG,-25.17,45.05,69.06,87,37,11.81,scattered clouds
96,Pervomayskoye,RU,43.92,46.71,66.49,83,0,3.69,clear sky
97,Kloulklubed,PW,7.04,134.26,78.8,88,75,8.37,broken clouds
98,Saint-Louis,SN,16.33,-15.0,78.8,100,40,9.82,scattered clouds
99,Xining,CN,36.62,101.77,52.11,66,17,2.15,few clouds
100,Foam Lake,CA,51.65,-103.53,73.02,41,43,2.68,scattered clouds
101,Kaitangata,NZ,-46.28,169.85,46.99,66,62,8.01,broken clouds
102,Serenje,ZM,-13.23,30.24,67.19,43,52,7.58,broken clouds
103,Ahipara,NZ,-35.17,173.17,57.51,63,18,9.28,few clouds
104,Mataura,NZ,-46.19,168.86,45.0,72,63,11.01,broken clouds
105,Mar Del Plata,AR,-38.0,-57.56,55.0,71,0,5.82,clear sky
106,Wucheng,CN,29.6,118.17,74.17,89,100,1.83,overcast clouds
107,Tomatlan,MX,19.93,-105.25,75.02,98,100,6.64,very heavy rain
108,Tagusao,PH,9.19,117.81,80.76,78,100,3.67,overcast clouds
109,Araguacu,BR,-12.93,-49.83,82.81,15,26,5.91,scattered clouds
110,Raudeberg,NO,61.99,5.14,55.99,84,18,14.83,few clouds
111,Tasiilaq,GL,65.61,-37.64,33.8,73,99,9.17,overcast clouds
112,Hami,CN,42.8,93.45,71.89,23,80,13.96,broken clouds
113,Springbok,ZA,-29.66,17.89,36.77,98,50,2.95,scattered clouds
114,Sitka,US,57.05,-135.33,59.0,62,90,13.87,overcast clouds
115,Upernavik,GL,72.79,-56.15,43.16,70,71,7.0,broken clouds
116,Gari,RU,59.43,62.35,55.29,97,55,5.46,broken clouds
117,Bengkulu,ID,-3.8,102.27,74.73,82,50,3.76,scattered clouds
118,Redmond,US,47.67,-122.12,79.0,47,0,8.21,clear sky
119,Port Moresby,PG,-9.44,147.18,77.0,88,40,11.41,scattered clouds
120,Tabou,CI,4.42,-7.35,75.94,85,99,8.52,overcast clouds
121,Celestun,MX,20.87,-90.4,88.77,61,18,13.82,few clouds
122,Flin Flon,CA,54.77,-101.86,69.8,40,90,9.17,overcast clouds
123,Olafsvik,IS,64.89,-23.71,51.64,84,100,13.56,light rain
124,Ola,RU,59.58,151.28,54.32,57,98,8.05,overcast clouds
125,Sao Joao Da Barra,BR,-21.64,-41.05,71.33,88,0,8.23,clear sky
126,Balkhash,KZ,46.84,74.98,67.53,54,10,9.08,clear sky
127,Bethel,US,41.37,-73.41,71.6,88,90,8.05,heavy intensity rain
128,Sorland,NO,67.67,12.69,50.5,70,100,10.42,overcast clouds
129,Faanui,PF,-16.48,-151.75,77.41,79,2,15.66,clear sky
130,Guerrero Negro,MX,27.98,-114.06,86.41,51,0,16.4,clear sky
131,Serik,TR,36.92,31.1,77.0,83,0,6.93,clear sky
