City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Sokoni,TZ,75.31,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
202,Mecca,SA,88.02,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
206,Carutapera,BR,76.91,few clouds,-1.2,-46.02,Lidera
208,Namioka,JP,87.01,fog,40.71,140.59,Restaurant & INN Sunrise
210,Tricase,IT,75.0,clear sky,39.93,18.36,Hotel Adriatico
211,Itiuba,BR,71.26,few clouds,-10.69,-39.85,Resort Hotel-Rc
215,Nabire,ID,77.68,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
218,Segovia,ES,73.0,few clouds,41.17,-4.0,Complejo de turismo Rural A Toca
223,Labuhan,ID,75.4,scattered clouds,-6.88,112.21,bador sepret
231,Kenora,CA,75.2,scattered clouds,49.82,-94.43,Maynard Lake Lodge
237,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
239,Kotido,UG,71.19,broken clouds,2.98,34.13,Loware Joseph Mukasa's Residence
240,Lohardaga,IN,73.4,light rain,23.43,84.68,Vanwashi kalyan kendr
241,Intipuca,SV,78.8,scattered clouds,13.2,-88.05,hotel familiar Fco
243,Jaguey Grande,CU,78.8,broken clouds,22.53,-81.13,El Ranchon
245,Namatanai,PG,82.27,moderate rain,-3.67,152.43,Namatanai Hotel
247,Vila Velha,BR,75.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
249,Coruripe,BR,71.74,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
250,Katsuura,JP,87.01,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
253,Kampot,KH,84.2,few clouds,10.62,104.18,Champa Lodge
254,Salalah,OM,75.2,mist,17.02,54.09,HAMDAN PLAZA HOTEL
255,San Patricio,MX,76.06,heavy intensity rain,19.22,-104.7,Hotel Cabo Blanco
257,Baracoa,CU,82.11,clear sky,20.35,-74.5,Hostal Rio Miel
258,Takoradi,GH,75.38,scattered clouds,4.88,-1.76,Raybow International Hotel
261,Kirovskiy,RU,74.52,overcast clouds,45.09,133.51,"Uyut, Gostinitsa"
263,Muisne,EC,78.8,overcast clouds,0.6,-80.03,Quinta Samay
264,Hun,LY,74.5,clear sky,29.13,15.95,Alrwasi Hotel
265,Banjarmasin,ID,73.4,few clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
267,Sao Filipe,CV,78.24,overcast clouds,14.9,-24.5,Tortuga B&B
268,Sibiti,CG,70.29,moderate rain,-3.68,13.35,Hotel Mapila 1
270,Shingu,JP,84.2,scattered clouds,33.73,135.98,Shingu UI Hotel
271,Zhicheng,CN,78.01,clear sky,30.3,111.5,Wangjiang Building
272,Panaba,MX,84.4,light rain,21.28,-88.27,Hotel Amor
274,Kijang,KR,78.8,light rain,35.24,129.21,Brown Dot Gijang Yeonhwari
275,Tartagal,AR,73.51,broken clouds,-22.52,-63.8,Almuñecar Hotel
278,Bucerias,MX,87.01,broken clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
282,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
288,Erice,IT,75.2,clear sky,38.04,12.59,Hotel Villa San Giovanni
294,Tecpatan,MX,87.8,scattered clouds,17.13,-93.3,Casa Hotel San Miguel
295,Tahta,EG,82.4,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
298,Mandvi,IN,81.55,light rain,22.83,69.37,Jitendra Guest House
299,Korla,CN,70.0,overcast clouds,41.76,86.15,Gulisitan Hotel
300,Rabo De Peixe,PT,75.2,few clouds,37.8,-25.58,Quinta das Giestas
301,Matadi,CD,76.14,light rain,-5.82,13.45,Hotel Fortune
302,Ndjole,GA,74.35,light rain,-0.18,10.76,Motel Kedyann
306,Kuah,MY,80.6,light rain,6.33,99.84,Azio Hotel
310,Shimoda,JP,77.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
311,Buala,SB,83.5,light rain,-8.14,159.59,Maringe Lagoon Lodge
314,Rapid Valley,US,87.8,smoke,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
319,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
323,Carbonia,IT,78.01,clear sky,39.17,8.52,Lu 'Hotel
324,Madisonville,US,89.6,clear sky,37.33,-87.5,Days Inn by Wyndham Madisonville
325,Honiara,SB,82.4,broken clouds,-9.43,159.95,Heritage Park Hotel
327,Karaton,ID,84.0,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
328,Adolfo Lopez Mateos,MX,78.46,few clouds,28.47,-107.3,Hotel Victor Inn
330,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
334,Shaoyang,CN,74.8,clear sky,27.23,111.45,IU Hotel Shaoyang Xihu Road
335,Weyburn,CA,82.04,overcast clouds,49.67,-103.85,Perfect Inns & Suites
336,Miandrivazo,MG,73.22,few clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
342,Kattivakkam,IN,78.8,mist,13.22,80.32,St. Joseph Thirumana mandapam
343,Sao Miguel Dos Campos,BR,73.4,scattered clouds,-9.78,-36.09,Lotu's Motel
345,Abu Kamal,SY,81.7,clear sky,34.45,40.92,محطة التلفاز
350,Udgir,IN,70.02,overcast clouds,18.38,77.12,Sarpmitra Ganesh Kallure
351,Axim,GH,75.81,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
354,Denpasar,ID,78.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
355,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
